subject,predicate,object,metadata
Syriza,populist traits in platform,inclusionary,Populist traits in Syrizas platform include growing importance of People in their rhetoric usthe people against themthe establishment antagonism in campaigning .
Syriza,does not accept label populist,itself,Syriza itself does not accept label populist .
Socialist Party,run Syriza,Syriza,The Socialist Party has run Syriza
Coalition of Radical Left,originally founded in,2004,"The Coalition of Radical Left ( ) , mostly known by syllabic abbreviation Syriza ( , sometimes stylised SYRIZA . pun on Greek adverb , meaning from roots or radically ) , is political party in Greece , originally founded in 2004 as coalition of left-wing radical left parties ."
Syriza,largest party in Hellenic Parliament,Hellenic Parliament,"It is largest party in Hellenic Parliament , with party chairman Alexis Tsipras serving as Prime Minister of Greece from 26 January 2015 to 20 August 2015 from 21 September 2015 to present ."
Alexis Tsipras,serving as Prime Minister of Greece from,26 January 2015 to 20 August 2015,Syriza itself does not accept label populist .
Alexis Tsipras,serving as Prime Minister of Greece from,21 September 2015 to present,Syriza itself does not accept label populist .
Syriza,is largest party in,Hellenic Parliament,"It is largest party in Hellenic Parliament , with party chairman Alexis Tsipras serving as Prime Minister of Greece from 26 January 2015 to 20 August 2015 from 21 September 2015 to present ."
Alexis Tsipras,serving as,Prime Minister of Greece,"It is largest party in Hellenic Parliament , with party chairman Alexis Tsipras serving as Prime Minister of Greece from 26 January 2015 to 20 August 2015 from 21 September 2015 to present ."
Syriza,party chairman of,Hellenic Parliament,"It is largest party in Hellenic Parliament , with party chairman Alexis Tsipras serving as Prime Minister of Greece from 26 January 2015 to 20 August 2015 from 21 September 2015 to present ."
Syriza,party colours are,"red, green, purple","The party colours are red ( left-wing politics ) , green ( green politics ) , purple ( social ( Renewing Wing ) of radical social democrats in Synapsisms split away from party , at same time leaving Syriza ."
Syriza,split away from,Synapsisms,"The party colours are red ( left-wing politics ) , green ( green politics ) , purple ( social ( Renewing Wing ) of radical social democrats in Synapsisms split away from party , at same time leaving Syriza ."
Syriza,left,Syriza,"The party colours are red ( left-wing politics ) , green ( green politics ) , purple ( social ( Renewing Wing ) of radical social democrats in Synapsisms split away from party , at same time leaving Syriza ."
Syriza,reduced parliamentary group to,9 MPs,This reduced Syrizas parliamentary group to 9 MPs .
Syriza,4 MPs who left formed new party,Democratic Left ( DIMAR ),"The 4 MPs who left formed new party , Democratic Left ( DIMAR ) ."
Syriza,gained popular support in opinion polls,as did,"Syriza gained popular support in opinion polls , as did Communist Party of Greece ( KKE ) DIMAR ."
Syriza,opinion polls in run-up to May 2012 election showed,10–12 support,Opinion polls in run-up to May 2012 election showed Syriza with 10–12 support .
Syriza,minor Unitary government of third Memorandum with European Union on Greeces debt,25 Syriza MPs who rejected terms of bailout,"The minor Unitary government of third Memorandum with European Union on Greeces debt , 25 Syriza MPs who rejected terms of bailout , including partys Left Platform Internationalist Workers Left faction , split to form new party Popular Unity ( Greek , Lak Entita ) ."
Syriza MPs who rejected terms of bailout,split to form new party,"Popular Unity ( Greek , Lak Entita )","The minor Unitary government of third Memorandum with European Union on Greeces debt , 25 Syriza MPs who rejected terms of bailout , including partys Left Platform Internationalist Workers Left faction , split to form new party Popular Unity ( Greek , Lak Entita ) ."
Minor Unitary government of third Memorandum with European Union on Greeces debt,rejected terms of bailout,25 Syriza MPs,"The minor Unitary government of third Memorandum with European Union on Greeces debt , 25 Syriza MPs who rejected terms of bailout , including partys Left Platform Internationalist Workers Left faction , split to form new party Popular Unity ( Greek , Lak Entita ) . They were led by Panagiotis Lafazanis . Having lost his majority in Greek Parliament , Tsipras resigned as Prime Minister on 20 August 2015 , called fresh election on 20 September 2015 . Although polls suggested close contest between Syriza New Democracy , in event Syriza led ND by 7 , winning 145 seats . snap election , PASOK announced electoral pact with DIMAR , named Democratic Coalition . In September 2015 legislative election on 20 September 2015 , PASOK–DIMAR list received 6.3 of vote , returned 17 seats . Democratic Left ( Greece ) Democratic Left ( , , DIMAR ) is social-democratic political party in Greece . DIMAR was minority party supporting Samaras cabinet from 21 June 2012 to 21 June 2013 ."
Syriza MPs,split to form new party,"Popular Unity ( Greek , Lak Entita )","The minor Unitary government of third Memorandum with European Union on Greeces debt , 25 Syriza MPs who rejected terms of bailout , including partys Left Platform Internationalist Workers Left faction , split to form new party Popular Unity ( Greek , Lak Entita ) . They were led by Panagiotis Lafazanis . Having lost his majority in Greek Parliament , Tsipras resigned as Prime Minister on 20 August 2015 , called fresh election on 20 September 2015 . Although polls suggested close contest between Syriza New Democracy , in event Syriza led ND by 7 , winning 145 seats . snap election , PASOK announced electoral pact with DIMAR , named Democratic Coalition . In September 2015 legislative election on 20 September 2015 , PASOK–DIMAR list received 6.3 of vote , returned 17 seats . Democratic Left ( Greece ) Democratic Left ( , , DIMAR ) is social-democratic political party in Greece . DIMAR was minority party supporting Samaras cabinet from 21 June 2012 to 21 June 2013 ."
Tsipras,resigned as Prime Minister,20 August 2015,"Having lost his majority in Greek Parliament , Tsipras resigned as Prime Minister on 20 August 2015 , called fresh election on 20 September 2015 . Although polls suggested close contest between Syriza New Democracy , in event Syriza led ND by 7 , winning 145 seats . snap election , PASOK announced electoral pact with DIMAR , named Democratic Coalition . In September 2015 legislative election on 20 September 2015 , PASOK–DIMAR list received 6.3 of vote , returned 17 seats . Democratic Left ( Greece ) Democratic Left ( , , DIMAR ) is social-democratic political party in Greece . DIMAR was minority party supporting Samaras cabinet from 21 June 2012 to 21 June 2013 ."
Syriza,led New Democracy by,7,"Although polls suggested close contest between Syriza New Democracy , in event Syriza led ND by 7 , winning 145 seats . snap election , PASOK announced electoral pact with DIMAR , named Democratic Coalition . In September 2015 legislative election on 20 September 2015 , PASOK–DIMAR list received 6.3 of vote , returned 17 seats . Democratic Left ( Greece ) Democratic Left ( , , DIMAR ) is social-democratic political party in Greece . DIMAR was minority party supporting Samaras cabinet from 21 June 2012 to 21 June 2013 ."
Greek legislative election of January 2015,won by,Coalition of Radical Left (SYRIZA),"In Greek legislative election of January 2015 , Coalition of Radical Left ( SYRIZA ) led by Alexis Tsipras won legislative election for first time while Communist Party of Greece won 15 seats in parliament ."
